;sentiscore_average;sentiment_Textblob;sentiment;textfile;journal;text_id;classified
252;0;0.040232684;0.040232684;10602_1788_MR_78_2;MR;10602;positive
253;0;0.027305421;0.027305421;10604_1856_ATH_420;ATH;10604;positive
0;-0.097342545;0;-0.097342545;10000_1834_ATH_323;ATH;10000;negative
18;-0.036799723;0;-0.036799723;10043_1864_ATH_610;ATH;10043;negative
20;-0.023448959;0;-0.023448959;10048_1847_ATH_1325;ATH;10048;negative
21;-0.031283325;0;-0.031283325;10049_1848_ATH_670;ATH;10049;negative
36;-0.059992062;0;-0.059992062;10079_1847_ATH_278;ATH;10079;negative
38;-0.098679434;0;-0.098679434;10093_1865_ATH_844;ATH;10093;negative
93;-0.028022076;0;-0.028022076;10212_1795_CR_20_1;CR;10212;negative
104;-0.029461701;0;-0.029461701;10251_1893_ATH_667;ATH;10251;negative
110;-0.049523465;0;-0.049523465;10259_1897_ATH_743;ATH;10259;negative
115;-0.029893121;0;-0.029893121;10270_1895_ATH_709;ATH;10270;negative
122;-0.042004761;0;-0.042004761;10290_1792_CR_38_1;CR;10290;negative
143;-0.10789531;0;-0.10789531;10395_1912_ATH_614;ATH;10395;negative
144;-0.033082776;0;-0.033082776;10396_1911_ATH_217;ATH;10396;negative
146;-0.023211237;0;-0.023211237;10410_1865_ATH_16;ATH;10410;negative
174;-0.018364552;0;-0.018364552;10455_1906_ATH_653;ATH;10455;negative
184;-0.061663569;0;-0.061663569;10471_1801_CR_56_1;CR;10471;negative
185;-0.11353328;0;-0.11353328;10471_1801_FL_56_2;FL;10471;negative
187;-0.086061519;0;-0.086061519;10472_1793_CR_31_1;CR;10472;negative
195;-0.024008723;0;-0.024008723;10483_1797_CR_70_1;CR;10483;negative
202;-0.016393133;0;-0.016393133;10487_1856_ATH_990;ATH;10487;negative
213;-0.021840379;0;-0.021840379;10513_1816_MR_53_3;MR;10513;negative
214;-0.021150313;0;-0.021150313;10523_1814_CR_54_1;CR;10523;negative
218;-0.027014677;0;-0.027014677;10539_1793_CR_39_1;CR;10539;negative
1;-0.00820306;0;-0.00820306;10003_1786_CR_29_1;CR;10003;not_classified
5;-0.031421386;0.082593537;0;10024_1858_ATH_145;ATH;10024;not_classified
7;-0.03973477;0.05659979;0;10030_1889_ATH_787;ATH;10030;not_classified
9;-0.032732651;0.008967387;0;10033_1900_ATH_544;ATH;10033;not_classified
10;0.012572028;0;0;10034_1786_CR_15_1;CR;10034;not_classified
11;-0.048785209;0.02027027;0;10034_1786_MR_15_2;MR;10034;not_classified
13;-0.024143075;0.02950039;0;10037_1789_CR_31_1;CR;10037;not_classified
15;-0.02158442;0.03101646;0;10038_1902_ATH_446;ATH;10038;not_classified
17;-0.027733233;0.010195428;0;10040_1911_ATH_352;ATH;10040;not_classified
22;-0.04142803;0.013964032;0;10050_1847_ATH_1100;ATH;10050;not_classified
24;-0.057339941;0.016615743;0;10053_1847_ATH_1324;ATH;10053;not_classified
28;-0.055578303;0.01350364;0;10063_1834_ATH_705;ATH;10063;not_classified
32;0.078290897;0.003333333;0;10067_1778_CR_10_1;CR;10067;not_classified
34;-0.034266993;0.018348642;0;10069_1872_ATH_492;ATH;10069;not_classified
37;-0.023579894;0.022695457;0;10081_1848_ATH_208;ATH;10081;not_classified
41;0.023684858;-0.02479369;0;10097_1903_ATH_719;ATH;10097;not_classified
43;-0.044044757;0.012384467;0;10100_1866_ATH_732;ATH;10100;not_classified
47;-0.027942096;0.028857237;0;10104_1868_ATH_106;ATH;10104;not_classified
49;-0.056189835;0.056423993;0;10110_1904_ATH_619;ATH;10110;not_classified
51;-0.037008657;0.023355918;0;10115_1911_ATH_483;ATH;10115;not_classified
54;-0.022468806;0.035610352;0;10126_1842_ATH_77;ATH;10126;not_classified
55;-0.018064697;0.035698777;0;10128_1850_ATH_1209;ATH;10128;not_classified
61;-0.027094417;0.024145678;0;10137_1865_ATH_569;ATH;10137;not_classified
63;0.002313287;0.005477278;0;10143_1847_ATH_302;ATH;10143;not_classified
64;0.023438595;0.001285994;0;10148_1889_ATH_371;ATH;10148;not_classified
66;-0.079478805;0.024375418;0;10172_1912_ATH_446;ATH;10172;not_classified
71;0.088943962;0;0;10186_1814_CR_20_3;CR;10186;not_classified
82;-0.020024974;0.034610615;0;10201_1876_ATH_143;ATH;10201;not_classified
84;0.017462127;0.001868912;0;10201_1876_ATH_327;ATH;10201;not_classified
86;-0.00975194;0.000660203;0;10201_1876_ATH_593;ATH;10201;not_classified
87;0.024941663;0.006067153;0;10201_1876_ATH_762;ATH;10201;not_classified
88;-0.017028409;0.030810403;0;10202_1866_ATH_828;ATH;10202;not_classified
90;-0.048413655;0.04091895;0;10206_1863_ATH_46;ATH;10206;not_classified
91;-0.026260421;0.037493633;0;10208_1861_ATH_464;ATH;10208;not_classified
95;-0.01706162;0.037718266;0;10223_1910_ATH_696;ATH;10223;not_classified
96;-0.057587192;0.027804901;0;10224_1907_ATH_600;ATH;10224;not_classified
98;-0.001712746;0.00356091;0;10241_1855_ATH_403;ATH;10241;not_classified
