author_viaf;id;title;file_name;Binz_1790;Binz_1812;Armbruster_1813;Bachmann_1851;Gerold_1859;Last_1901;sum_libraries;binary;pub_year
102319551;20236;Frau Regel Amrain und ihr Jüngster;Keller_Gottfried_Frau-Regel-Amrain-und-ihr-Juengster_1855;0;0;0;0;1;1;2;1;1855
102319551;20237;Romeo und Julia von dem Dorfe;Keller_Gottfried_Romeo-und-Julia-von-dem-Dorfe_1856;0;0;0;0;1;1;2;1;1856
102319551;20239;Der Grüne Heinrich;Keller_Gottfried_Der-Gruene-Heinrich_1854;0;0;0;0;1;1;2;1;1854
102319551;20240;Pankraz, der Schmoller;Keller_Gottfried_Pankraz_1856;0;0;0;0;1;1;2;1;1856
102319551;20244;Kleider machen Leute;Keller_Gottfried_Kleider-machen-Leute_1874;0;0;0;0;1;1;2;1;1874
19692845;20256;Fausts Leben, Thaten und HÃ¶llenfahrt;Klinger_Friedrich_Fausts-Leben-Thaten-und-Hoellenfahrt_1791;0;0;0;1;1;0;2;1;1791
19692845;20257;Der Faust der Morgenländer;Klinger_Friedrich_Der-Faust-der-Morgenlaender_1797;0;0;0;1;1;0;2;1;1797
5722928;20260;Der Amerikamüde;Kuernberger_Ferdinand_Der-Amerikamuede_1855;0;0;0;0;1;1;2;1;1855
36932939;20268;Geschichte des Fräulein von Sterneim;La-Roche_Sophie_Fraeulein-von-Sternheim_1771;1;1;0;0;0;0;2;1;1771
54243995;20273;Braunschweig;Laube_Heinrich_Braunschweig_1834;0;0;0;1;0;1;2;1;1834
54243995;20275;Breslau;Laube_Heinrich_Breslau_1834;0;0;0;1;0;1;2;1;1834
54243995;20276;Anhalt;Laube_Heinrich_Anhalt_1834;0;0;0;1;0;1;2;1;1834
54243995;20277;Halberstadt;Laube_Heinrich_Halberstadt_1834;0;0;0;1;0;1;2;1;1834
54243995;20278;Magdeburg;Laube_Heinrich_Magdeburg_1834;0;0;0;1;0;1;2;1;1834
59217212;20282;Jenny;Lewald_Fanny_Jenny_1843;0;0;0;1;1;0;2;1;1843
5014548;20286;Zwischen Himmel und Erde;Ludwig_Otto_Zwischen-Himmel-und-Erde_1856;0;0;0;0;1;1;2;1;1856
67261673;20316;Siegwart;Miller_Johann-Martin_Siegwart_1776;1;0;0;1;0;0;2;1;1776
44298932;20326;Udine;Motte-Fouque_Friedrich_Udine_1814;0;0;0;0;1;1;2;1;1814
100384100;20329;Afraja, a Norwegian and Lapland Tale;Muegge_Theodor_Afraja_1854;0;0;0;0;1;1;2;1;1854
104587;20334;Madonna. Unterhaltungen mit einer Heiligen;Mundt_Theodor_Madonna_1835;0;0;0;1;1;0;2;1;1835
64011067;20347;Flegeljahre;Paul_Jean_Flegeljahre_1804;0;0;0;1;1;0;2;1;1804
64011067;20349;Hesperus;Paul_Jean_Hesperus_1795;0;0;0;1;1;0;2;1;1795
64011067;20350;Die unsichtbare Loge;Paul_Jean_Die-unsichtbare-Loge_1793;0;0;0;1;1;0;2;1;1793
64011067;20351;Titan;Paul_Jean_Titan_1800;0;0;0;1;1;0;2;1;1800
19761512;20425;Ekkehard;Scheffel_Joseph-Victor_Ekkehard_1855;0;0;0;0;1;1;2;1;1855
51755743;20436;Gabriele;Schopenhauer_Johanna_Gabriele_1819;0;0;0;1;1;0;2;1;1819
12395794;20438;Nathan, der Squatter-Regulator;Sealsfield_Charles_Nathan-der-Squatter-Regulator_1837;0;0;0;1;1;0;2;1;1837
12395794;20439;Das Cajütenbuch, oder Nationale Charakteristiken;Sealsfield_Charles_Das-Cajuetenbuch_1841;0;0;0;1;1;0;2;1;1841
22149114;20450;Granit;Stifter_Adalbert_Granit_1852;0;0;0;0;1;1;2;1;1852
22149114;20454;Kalkstein;Stifter_Adalbert_Kalkstein_1853;0;0;0;0;1;1;2;1;1853
22149114;20455;Katzensilber;Stifter_Adalbert_Katzensilber_1853;0;0;0;0;1;1;2;1;1853
22149114;20457;Bergkristall;Stifter_Adalbert_Bergkristall_1853;0;0;0;0;1;1;2;1;1853
22149114;20458;Bergmilch;Stifter_Adalbert_Bergmilch_1853;0;0;0;0;1;1;2;1;1853
